1.0,0.2,152.0,1.0
2.0,0.2,189.0,1.0
3.0,0.2,425.0,1.0
4.0,0.2,858.0,1.0
5.0,0.3,253.0,1.0
6.0,0.4,136.0,1.0
7.0,0.5,18.0,1.0
8.0,0.5,205.0,1.0
9.0,0.7,618.0,1.0
10.0,0.9,433.0,1.0
11.0,1.0,41.0,1.0
12.0,1.0,77.0,1.0
13.0,1.0,526.0,1.0
14.0,1.0,949.0,1.0
15.0,2.0,224.0,1.0
16.0,2.0,519.0,1.0
17.0,2.0,813.0,1.0
18.0,2.0,984.0,1.0
19.0,3.0,21.0,1.0
20.0,3.0,33.0,1.0
21.0,3.0,659.0,1.0
22.0,4.0,9.0,1.0
23.0,4.0,19.0,1.0
24.0,4.0,22.0,1.0
25.0,4.0,25.0,1.0
26.0,4.0,26.0,1.0
27.0,4.0,349.0,1.0
28.0,4.0,609.0,1.0
29.0,5.0,14.0,1.0
30.0,5.0,361.0,1.0
31.0,5.0,937.0,1.0
32.0,6.0,7.0,1.0
33.0,6.0,8.0,1.0
34.0,6.0,24.0,1.0
35.0,7.0,12.0,1.0
36.0,7.0,27.0,1.0
37.0,8.0,16.0,1.0
38.0,8.0,48.0,1.0
39.0,8.0,783.0,1.0
40.0,9.0,21.0,1.0
41.0,9.0,342.0,1.0
42.0,9.0,417.0,1.0
43.0,10.0,1.0,1.0
44.0,10.0,16.0,1.0
45.0,10.0,20.0,1.0
46.0,10.0,28.0,1.0
47.0,10.0,88.0,1.0
48.0,11.0,11.0,1.0
49.0,11.0,121.0,1.0
50.0,11.0,274.0,1.0
51.0,12.0,5.0,2.0
52.0,14.0,10.0,1.0
53.0,14.0,13.0,1.0
54.0,14.0,418.0,1.0
55.0,14.0,930.0,1.0
56.0,15.0,5.0,2.0
57.0,15.0,22.0,2.0
58.0,15.0,23.0,1.0
59.0,15.0,58.0,1.0
60.0,16.0,99.0,1.0
61.0,17.0,751.0,2.0
62.0,18.0,5.0,1.0
63.0,18.0,28.0,1.0
64.0,18.0,242.0,1.0
65.0,18.0,576.0,2.0
66.0,19.0,10.0,2.0
67.0,19.0,13.0,2.0
68.0,19.0,275.0,2.0
